2026-01-27 10:00:51,636 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:00:51,681 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:01:21,549 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:01:21,589 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:01:51,566 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:01:51,606 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:02:21,507 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:02:21,547 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:02:51,621 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:02:51,723 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:03:21,504 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:03:21,564 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:03:51,566 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:03:51,641 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:04:21,507 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:04:21,548 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:04:51,604 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:04:51,688 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:05:21,642 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:05:21,682 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:05:51,846 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:05:51,952 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:06:21,696 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:06:21,736 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:06:51,547 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:06:51,594 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:07:21,520 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:07:21,563 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:07:51,568 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:07:51,612 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:08:21,832 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:08:21,872 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:08:51,564 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:08:51,697 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:09:21,758 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:09:21,798 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:09:51,681 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:09:51,726 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:10:21,612 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:10:21,659 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:10:51,660 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:10:51,739 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:11:22,029 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:11:22,071 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:11:51,598 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:11:51,641 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:12:21,720 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:12:21,764 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:12:51,604 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:12:51,649 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:13:21,525 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:13:21,567 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:13:51,565 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:13:51,603 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:14:21,527 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:14:21,566 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:14:51,514 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:14:51,553 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:15:21,541 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:15:21,580 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:15:51,696 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:15:51,735 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:16:21,570 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:16:21,610 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:16:51,642 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
2026-01-27 10:16:51,682 | INFO     | ai_broker.runtime | AAPL blocked: Already have position in AAPL
2026-01-27 10:17:21,616 | INFO     | ai_broker.scorer | [EXPLORATORY] AAPL cluster=9 score=0.50 exp=0.0000
